Settlement,South_Sudan,DRC,Sudan,Eritrea,Somalia,Burundi,Rwanda,Ethiopia,Other,Total
Nakivale,234,213348,19,907,11552,35491,15824,1470,52,278897
Adjumani,233346,45,778,6,1,2,0,4,0,234182
Bidibidi,209617,50,112,0,0,1,1,3,1,209785
Rhino,189615,10775,2916,3,0,9,45,16,44,203423
Kampala,3822,26889,9617,64620,38869,5151,1918,14629,2003,167518
Kiryandongo,86627,392,79426,4,1,45,22,10,206,166733
Kyangwali,3757,152788,4,0,5,132,631,2,11,157330
Palorinya,143969,54,42,0,0,0,0,0,1,144066
Kyaka II,55,130202,5,15,9,3657,4412,3,36,138394
Rwamwanja,169,107459,0,0,0,72,355,0,12,108067
Palabek,97491,51,245,0,0,0,0,0,0,97787
Imvepi,73388,4446,826,0,0,0,2,1,0,78663
Oruchinga,67,4261,1,0,0,1712,2180,0,0,8221
Lobule,47,6463,0,0,0,0,0,0,0,6510
