Settlement,0-4 Female,0-4 Male,0-4 Total,5-11 Female,5-11 Male,5-11 Total,12-17 Female,12-17 Male,12-17 Total,18-35 Female,18-35 Male,18-35 Total,36-59 Female,36-59 Male,36-59 Total,60+ Female,60+ Male,60+ Total,Grand Total
Nakivale,19290,19469,38759,29122,28949,58071,17347,17326,34673,50041,50712,100753,19997,18749,38746,4050,3845,7895,278897
Adjumani,11240,11285,22525,28986,29288,58274,22499,23886,46385,37774,35600,73374,18844,6993,25837,5592,2195,7787,234182
Bidibidi,9719,9731,19450,23024,23133,46157,23075,24652,47727,33578,31687,65265,16323,8722,25045,4179,1962,6141,209785
Rhino,11872,12095,23967,24177,25404,49581,18742,21005,39747,33470,33908,67378,12080,6504,18584,2960,1206,4166,203423
Kampala,4966,5320,10286,9338,9849,19187,7040,7626,14666,37831,48527,86358,15198,19118,34316,1388,1317,2705,167518
Kiryandongo,6995,7237,14232,16817,17527,34344,13296,14694,27990,29498,31214,60712,14213,9542,23755,3621,2079,5700,166733
Kyangwali,11860,11441,23301,19483,19369,38852,12243,12320,24563,23904,19074,42978,12623,9381,22004,3283,2349,5632,157330
Palorinya,6948,6933,13881,14767,15164,29931,13383,14019,27402,23940,21869,45809,12769,8141,20910,3857,2276,6133,144066
Kyaka II,9642,9925,19567,16716,16672,33388,11401,11416,22817,20100,19220,39320,10358,8882,19240,2204,1858,4062,138394
Rwamwanja,7635,7844,15479,13819,13594,27413,9456,9068,18524,14783,13769,28552,8018,6913,14931,1621,1547,3168,108067
Palabek,5169,5314,10483,13208,14017,27225,9038,10864,19902,14805,15105,29910,5773,2695,8468,1348,451,1799,97787
Imvepi,4454,4310,8764,9636,9621,19257,7668,7644,15312,12569,11001,23570,5843,3525,9368,1563,829,2392,78663
Oruchinga,522,543,1065,924,897,1821,673,694,1367,1208,1144,2352,742,565,1307,154,155,309,8221
Lobule,457,477,934,708,692,1400,574,621,1195,1009,1011,2020,521,216,737,145,79,224,6510
Total,110769,111924,222693,220725,224176,444901,166435,175835,342270,334510,333841,668351,153302,109946,263248,35965,22148,58113,1999576
